lane_id,planning_lane_id,video_lane_id,brand_id,base_brand_id,teacher_id,title_count,companion_title_count,topic_count,persona_count,practice_status,manga_status,video_style_status,cover_art_status,shorts_status,video_long_status,video_1h_status,video_3h_status,video_5h_status,audiobook_video_status,blockers
de_DE,dach,eu_west,relationship_clarity_de_de,relationship_clarity,camille_fontaine,27,0,3,1,not_needed,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,[]
de_DE,dach,eu_west,resilient_parent_de_de,resilient_parent,maren_cole,27,8,3,1,template_ready_cli_missing,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,['practice_cli_missing_scripts_pearl_practice']
de_DE,dach,eu_west,stabilizer_de_de,stabilizer,nadia_solano,27,24,3,1,template_ready_cli_missing,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,['practice_cli_missing_scripts_pearl_practice']
de_DE,dach,eu_west,still_forest_de_de,still_forest,joshin,36,16,4,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
de_DE,dach,eu_west,truth_compass_de_de,truth_compass,maat,36,16,4,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
de_DE,dach,eu_west,vitality_path_de_de,vitality_path,master_feung,36,24,4,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
de_DE,dach,eu_west,zen_clarity_de_de,zen_clarity,junko,45,24,5,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
en_US,english_global,en,adhd_forge_en_us,adhd_forge,kai_brennan,36,16,4,1,template_ready_cli_missing,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,['practice_cli_missing_scripts_pearl_practice']
en_US,english_global,en,awakening_press_en_us,awakening_press,adi_da,45,8,5,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
en_US,english_global,en,body_wisdom_en_us,body_wisdom,pamela_fellows,36,32,4,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
en_US,english_global,en,career_lift_en_us,career_lift,daniel_reeves,27,8,3,1,template_ready_cli_missing,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,['practice_cli_missing_scripts_pearl_practice']
en_US,english_global,en,confidence_core_en_us,confidence_core,priya_sharma,27,24,3,1,template_ready_cli_missing,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,['practice_cli_missing_scripts_pearl_practice']
en_US,english_global,en,cosmic_edge_en_us,cosmic_edge,ra,36,16,4,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
en_US,english_global,en,creative_unfold_en_us,creative_unfold,iris_delacroix,27,8,3,1,template_ready_cli_missing,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,['practice_cli_missing_scripts_pearl_practice']
en_US,english_global,en,executive_calm_en_us,executive_calm,victor_hale,27,24,3,1,template_ready_cli_missing,plan_ready_light,style_ready,cover_art_ready,supported,supported,supported,supported,not_in_current_catalog,lane_supported,['practice_cli_missing_scripts_pearl_practice']
en_US,english_global,en,gen_spark_en_us,gen_spark,miki,36,24,4,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
en_US,english_global,en,gentle_wave_en_us,gentle_wave,omote,45,24,5,1,template_ready_cli_missing,no_series_plan,style_missing_for_brand,cover_art_missing_for_brand,supported,supported,supported,supported,not_in_current_catalog,lane_supported,"['brand_not_mapped_in_brand_cover_art_specs', 'brand_not_mapped_in_brand_series_plans', 'brand_not_mapped_in_brand_video_styles', 'practice_cli_missing_scripts_pearl_practice']"
