brand_id	tier	demographic	series_index	series_topic	book_index	status	epub_path	locale
bright_presence_tw_seinen	niche	seinen	2	imposter_syndrome	3	planned		en_US
bright_presence_tw_seinen	niche	seinen	2	imposter_syndrome	4	planned		en_US
bright_presence_tw_seinen	niche	seinen	2	imposter_syndrome	5	planned		en_US
bright_presence_tw_seinen	niche	seinen	3	self_worth	1	planned		en_US
bright_presence_tw_seinen	niche	seinen	3	self_worth	2	planned		en_US
bright_presence_tw_seinen	niche	seinen	3	self_worth	3	planned		en_US
bright_presence_tw_seinen	niche	seinen	3	self_worth	4	planned		en_US
bright_presence_tw_seinen	niche	seinen	3	self_worth	5	planned		en_US
bright_presence_tw_seinen	niche	seinen	4	social_anxiety	1	planned		en_US
bright_presence_tw_seinen	niche	seinen	4	social_anxiety	2	planned		en_US
bright_presence_tw_seinen	niche	seinen	4	social_anxiety	3	planned		en_US
bright_presence_tw_seinen	niche	seinen	4	social_anxiety	4	planned		en_US
bright_presence_tw_seinen	niche	seinen	4	social_anxiety	5	planned		en_US
bright_presence_tw_seinen	niche	seinen	5	social_anxiety	1	planned		en_US
bright_presence_tw_seinen	niche	seinen	5	social_anxiety	2	planned		en_US
bright_presence_tw_seinen	niche	seinen	5	social_anxiety	3	planned		en_US
bright_presence_tw_seinen	niche	seinen	5	social_anxiety	4	planned		en_US
bright_presence_tw_seinen	niche	seinen	5	social_anxiety	5	planned		en_US
calm_student_school	niche	shojo	1	anxiety	1	planned		en_US
calm_student_school	niche	shojo	1	anxiety	2	planned		en_US
calm_student_school	niche	shojo	1	anxiety	3	planned		en_US
calm_student_school	niche	shojo	1	anxiety	4	planned		en_US
calm_student_school	niche	shojo	1	anxiety	5	planned		en_US
calm_student_school	niche	shojo	2	social_anxiety	1	planned		en_US
calm_student_school	niche	shojo	2	social_anxiety	2	planned		en_US
calm_student_school	niche	shojo	2	social_anxiety	3	planned		en_US
calm_student_school	niche	shojo	2	social_anxiety	4	planned		en_US
calm_student_school	niche	shojo	2	social_anxiety	5	planned		en_US
calm_student_school	niche	shojo	3	self_worth	1	planned		en_US
calm_student_school	niche	shojo	3	self_worth	2	planned		en_US
calm_student_school	niche	shojo	3	self_worth	3	planned		en_US
calm_student_school	niche	shojo	3	self_worth	4	planned		en_US
calm_student_school	niche	shojo	3	self_worth	5	planned		en_US
calm_student_school	niche	shojo	4	anxiety	1	planned		en_US
calm_student_school	niche	shojo	4	anxiety	2	planned		en_US
calm_student_school	niche	shojo	4	anxiety	3	planned		en_US
calm_student_school	niche	shojo	4	anxiety	4	planned		en_US
calm_student_school	niche	shojo	4	anxiety	5	planned		en_US
calm_student_school	niche	shojo	5	anxiety	1	planned		en_US
calm_student_school	niche	shojo	5	anxiety	2	planned		en_US
calm_student_school	niche	shojo	5	anxiety	3	planned		en_US
calm_student_school	niche	shojo	5	anxiety	4	planned		en_US
calm_student_school	niche	shojo	5	anxiety	5	planned		en_US
career_lift_workplace	core	josei	1	imposter_syndrome	1	planned		en_US
career_lift_workplace	core	josei	1	imposter_syndrome	2	planned		en_US
career_lift_workplace	core	josei	1	imposter_syndrome	3	planned		en_US
career_lift_workplace	core	josei	1	imposter_syndrome	4	planned		en_US
career_lift_workplace	core	josei	1	imposter_syndrome	5	planned		en_US
career_lift_workplace	core	josei	2	social_anxiety	1	planned		en_US
career_lift_workplace	core	josei	2	social_anxiety	2	planned		en_US
career_lift_workplace	core	josei	2	social_anxiety	3	planned		en_US
career_lift_workplace	core	josei	2	social_anxiety	4	planned		en_US
career_lift_workplace	core	josei	2	social_anxiety	5	planned		en_US
career_lift_workplace	core	josei	3	financial_anxiety	1	planned		en_US
career_lift_workplace	core	josei	3	financial_anxiety	2	planned		en_US
career_lift_workplace	core	josei	3	financial_anxiety	3	planned		en_US
career_lift_workplace	core	josei	3	financial_anxiety	4	planned		en_US
career_lift_workplace	core	josei	3	financial_anxiety	5	planned		en_US
career_lift_workplace	core	josei	4	burnout	1	planned		en_US
career_lift_workplace	core	josei	4	burnout	2	planned		en_US
career_lift_workplace	core	josei	4	burnout	3	planned		en_US
career_lift_workplace	core	josei	4	burnout	4	planned		en_US
career_lift_workplace	core	josei	4	burnout	5	planned		en_US
career_lift_workplace	core	josei	5	imposter_syndrome	1	planned		en_US
career_lift_workplace	core	josei	5	imposter_syndrome	2	planned		en_US
career_lift_workplace	core	josei	5	imposter_syndrome	3	planned		en_US
career_lift_workplace	core	josei	5	imposter_syndrome	4	planned		en_US
career_lift_workplace	core	josei	5	imposter_syndrome	5	planned		en_US
cognitive_clarity	flagship	seinen	1	overthinking	1	planned		en_US
cognitive_clarity	flagship	seinen	1	overthinking	2	planned		en_US
cognitive_clarity	flagship	seinen	1	overthinking	3	planned		en_US
cognitive_clarity	flagship	seinen	1	overthinking	4	planned		en_US
cognitive_clarity	flagship	seinen	1	overthinking	5	planned		en_US
cognitive_clarity	flagship	seinen	2	imposter_syndrome	1	planned		en_US
cognitive_clarity	flagship	seinen	2	imposter_syndrome	2	planned		en_US
cognitive_clarity	flagship	seinen	2	imposter_syndrome	3	planned		en_US
cognitive_clarity	flagship	seinen	2	imposter_syndrome	4	planned		en_US
cognitive_clarity	flagship	seinen	2	imposter_syndrome	5	planned		en_US
cognitive_clarity	flagship	seinen	3	burnout	1	planned		en_US
cognitive_clarity	flagship	seinen	3	burnout	2	planned		en_US
cognitive_clarity	flagship	seinen	3	burnout	3	planned		en_US
cognitive_clarity	flagship	seinen	3	burnout	4	planned		en_US
cognitive_clarity	flagship	seinen	3	burnout	5	planned		en_US
cognitive_clarity	flagship	seinen	4	boundaries	1	planned		en_US
cognitive_clarity	flagship	seinen	4	boundaries	2	planned		en_US
cognitive_clarity	flagship	seinen	4	boundaries	3	planned		en_US
cognitive_clarity	flagship	seinen	4	boundaries	4	planned		en_US
cognitive_clarity	flagship	seinen	4	boundaries	5	planned		en_US
cognitive_clarity	flagship	seinen	5	overthinking	1	planned		en_US
cognitive_clarity	flagship	seinen	5	overthinking	2	planned		en_US
cognitive_clarity	flagship	seinen	5	overthinking	3	planned		en_US
cognitive_clarity	flagship	seinen	5	overthinking	4	planned		en_US
cognitive_clarity	flagship	seinen	5	overthinking	5	planned		en_US
confidence_core_romance	niche	shojo	1	imposter_syndrome	1	planned		en_US
confidence_core_romance	niche	shojo	1	imposter_syndrome	2	planned		en_US
confidence_core_romance	niche	shojo	1	imposter_syndrome	3	planned		en_US
confidence_core_romance	niche	shojo	1	imposter_syndrome	4	planned		en_US
confidence_core_romance	niche	shojo	1	imposter_syndrome	5	planned		en_US
confidence_core_romance	niche	shojo	2	self_worth	1	planned		en_US
confidence_core_romance	niche	shojo	2	self_worth	2	planned		en_US
confidence_core_romance	niche	shojo	2	self_worth	3	planned		en_US
confidence_core_romance	niche	shojo	2	self_worth	4	planned		en_US
confidence_core_romance	niche	shojo	2	self_worth	5	planned		en_US
confidence_core_romance	niche	shojo	3	social_anxiety	1	planned		en_US
confidence_core_romance	niche	shojo	3	social_anxiety	2	planned		en_US
confidence_core_romance	niche	shojo	3	social_anxiety	3	planned		en_US
confidence_core_romance	niche	shojo	3	social_anxiety	4	planned		en_US
confidence_core_romance	niche	shojo	3	social_anxiety	5	planned		en_US
confidence_core_romance	niche	shojo	4	imposter_syndrome	1	planned		en_US
confidence_core_romance	niche	shojo	4	imposter_syndrome	2	planned		en_US
confidence_core_romance	niche	shojo	4	imposter_syndrome	3	planned		en_US
confidence_core_romance	niche	shojo	4	imposter_syndrome	4	planned		en_US
confidence_core_romance	niche	shojo	4	imposter_syndrome	5	planned		en_US
confidence_core_romance	niche	shojo	5	imposter_syndrome	1	planned		en_US
confidence_core_romance	niche	shojo	5	imposter_syndrome	2	planned		en_US
confidence_core_romance	niche	shojo	5	imposter_syndrome	3	planned		en_US
confidence_core_romance	niche	shojo	5	imposter_syndrome	4	planned		en_US
confidence_core_romance	niche	shojo	5	imposter_syndrome	5	planned		en_US
creative_unfold_social	niche	shojo	1	social_anxiety	1	planned		en_US
creative_unfold_social	niche	shojo	1	social_anxiety	2	planned		en_US
creative_unfold_social	niche	shojo	1	social_anxiety	3	planned		en_US
creative_unfold_social	niche	shojo	1	social_anxiety	4	planned		en_US
creative_unfold_social	niche	shojo	1	social_anxiety	5	planned		en_US
creative_unfold_social	niche	shojo	2	self_worth	1	planned		en_US
creative_unfold_social	niche	shojo	2	self_worth	2	planned		en_US
