brand_id	locale	manga_plan	manga_series_count	book_plan	book_series_count	podcast_plan	podcast_series_count	status
adhd_forge_mystery	en_US	1	4	1	5	1	6	COMPLETE
adhd_forge_mystery	ja_JP	1	4	1	5	1	4	COMPLETE
adhd_forge_mystery	zh_TW	1	4	1	5	1	3	COMPLETE
adhd_forge_mystery	zh_CN	1	4	1	5	1	4	COMPLETE
devotion_path_shonen	en_US	1	6	1	5	1	6	COMPLETE
devotion_path_shonen	ja_JP	1	6	1	5	1	4	COMPLETE
devotion_path_shonen	zh_TW	1	6	1	5	1	3	COMPLETE
devotion_path_shonen	zh_CN	1	6	1	5	1	4	COMPLETE
stoic_edge_battle	en_US	1	6	1	5	1	6	COMPLETE
stoic_edge_battle	ja_JP	1	6	1	5	1	4	COMPLETE
stoic_edge_battle	zh_TW	1	6	1	5	1	3	COMPLETE
stoic_edge_battle	zh_CN	1	6	1	5	1	4	COMPLETE
warrior_calm_cultivation	en_US	1	7	1	5	1	6	COMPLETE
warrior_calm_cultivation	ja_JP	1	7	1	5	1	4	COMPLETE
warrior_calm_cultivation	zh_TW	1	7	1	5	1	3	COMPLETE
warrior_calm_cultivation	zh_CN	1	7	1	5	1	4	COMPLETE
spiritual_ground_supernatural	en_US	1	6	1	5	1	6	COMPLETE
spiritual_ground_supernatural	ja_JP	1	6	1	5	1	4	COMPLETE
spiritual_ground_supernatural	zh_TW	1	6	1	5	1	3	COMPLETE
spiritual_ground_supernatural	zh_CN	1	6	1	5	1	4	COMPLETE
solar_return_isekai	en_US	1	5	1	5	1	6	COMPLETE
solar_return_isekai	ja_JP	1	5	1	5	1	4	COMPLETE
solar_return_isekai	zh_TW	1	5	1	5	1	3	COMPLETE
solar_return_isekai	zh_CN	1	5	1	5	1	4	COMPLETE
legacy_builder_memoir	en_US	1	4	1	5	1	6	COMPLETE
legacy_builder_memoir	ja_JP	1	4	1	5	1	4	COMPLETE
legacy_builder_memoir	zh_TW	1	4	1	5	1	3	COMPLETE
legacy_builder_memoir	zh_CN	1	4	1	5	1	4	COMPLETE
bio_flow_healing	en_US	1	6	1	5	1	6	COMPLETE
bio_flow_healing	ja_JP	1	6	1	5	1	4	COMPLETE
bio_flow_healing	zh_TW	1	6	1	5	1	3	COMPLETE
bio_flow_healing	zh_CN	1	6	1	5	1	4	COMPLETE
longevity_lab_healing	en_US	1	6	1	5	1	6	COMPLETE
longevity_lab_healing	ja_JP	1	6	1	5	1	4	COMPLETE
longevity_lab_healing	zh_TW	1	6	1	5	1	3	COMPLETE
longevity_lab_healing	zh_CN	1	6	1	5	1	4	COMPLETE
hormone_reset_healing	en_US	1	6	1	5	1	6	COMPLETE
hormone_reset_healing	ja_JP	1	6	1	5	1	4	COMPLETE
hormone_reset_healing	zh_TW	1	6	1	5	1	3	COMPLETE
hormone_reset_healing	zh_CN	1	6	1	5	1	4	COMPLETE
qi_foundation_cultivation	en_US	1	4	1	5	1	6	COMPLETE
qi_foundation_cultivation	ja_JP	1	4	1	5	1	4	COMPLETE
qi_foundation_cultivation	zh_TW	1	4	1	5	1	3	COMPLETE
qi_foundation_cultivation	zh_CN	1	4	1	5	1	4	COMPLETE
creative_unfold_social	en_US	1	4	1	5	1	6	COMPLETE
creative_unfold_social	ja_JP	1	4	1	5	1	4	COMPLETE
creative_unfold_social	zh_TW	1	4	1	5	1	3	COMPLETE
creative_unfold_social	zh_CN	1	4	1	5	1	4	COMPLETE
calm_student_school	en_US	1	4	1	5	1	6	COMPLETE
calm_student_school	ja_JP	1	4	1	5	1	4	COMPLETE
calm_student_school	zh_TW	1	4	1	5	1	3	COMPLETE
calm_student_school	zh_CN	1	4	1	5	1	4	COMPLETE
bright_presence_tw_seinen	en_US	0	0	1	5	1	6	COMPLETE
bright_presence_tw_seinen	ja_JP	0	0	1	5	1	4	COMPLETE
bright_presence_tw_seinen	zh_TW	1	6	1	5	1	3	COMPLETE
bright_presence_tw_seinen	zh_CN	0	0	1	5	1	4	COMPLETE
