brand_id	locale	surface	plan_rows	status	reason
qi_foundation_cultivation	en_US	books	25	covered	
qi_foundation_cultivation	ja_JP	books	25	covered	
qi_foundation_cultivation	ko_KR	books	25	covered	
qi_foundation_cultivation	zh_TW	books	25	covered	
qi_foundation_cultivation	zh_CN	books	25	covered	
relational_calm_iyashikei	en_US	books	25	covered	
relational_calm_iyashikei	ja_JP	books	25	covered	
relational_calm_iyashikei	ko_KR	books	25	covered	
relational_calm_iyashikei	zh_TW	books	25	covered	
relational_calm_iyashikei	zh_CN	books	25	covered	
relationship_clarity_romance	en_US	books	25	covered	
relationship_clarity_romance	ja_JP	books	25	covered	
relationship_clarity_romance	ko_KR	books	25	covered	
relationship_clarity_romance	zh_TW	books	25	covered	
relationship_clarity_romance	zh_CN	books	25	covered	
resilient_parent_social	en_US	books	25	covered	
resilient_parent_social	ja_JP	books	25	covered	
resilient_parent_social	ko_KR	books	25	covered	
resilient_parent_social	zh_TW	books	25	covered	
resilient_parent_social	zh_CN	books	25	covered	
sleep_restoration_iyashikei	en_US	books	25	covered	
sleep_restoration_iyashikei	ja_JP	books	25	covered	
sleep_restoration_iyashikei	ko_KR	books	25	covered	
sleep_restoration_iyashikei	zh_TW	books	25	covered	
sleep_restoration_iyashikei	zh_CN	books	25	covered	
solar_return_isekai	en_US	books	25	covered	
solar_return_isekai	ja_JP	books	25	covered	
solar_return_isekai	ko_KR	books	25	covered	
solar_return_isekai	zh_TW	books	25	covered	
solar_return_isekai	zh_CN	books	25	covered	
somatic_wisdom_shojo	en_US	books	25	covered	
somatic_wisdom_shojo	ja_JP	books	25	covered	
somatic_wisdom_shojo	ko_KR	books	25	covered	
somatic_wisdom_shojo	zh_TW	books	25	covered	
somatic_wisdom_shojo	zh_CN	books	25	covered	
spiritual_ground_supernatural	en_US	books	25	covered	
spiritual_ground_supernatural	ja_JP	books	25	covered	
spiritual_ground_supernatural	ko_KR	books	25	covered	
spiritual_ground_supernatural	zh_TW	books	25	covered	
spiritual_ground_supernatural	zh_CN	books	25	covered	
stabilizer_healing	en_US	books	25	covered	
stabilizer_healing	ja_JP	books	25	covered	
stabilizer_healing	ko_KR	books	25	covered	
stabilizer_healing	zh_TW	books	25	covered	
stabilizer_healing	zh_CN	books	25	covered	
stillness_press	en_US	books	25	covered	
stillness_press	ja_JP	books	25	covered	
stillness_press	ko_KR	books	25	covered	
stillness_press	zh_TW	books	25	covered	
stillness_press	zh_CN	books	25	covered	
stoic_edge_battle	en_US	books	25	covered	
stoic_edge_battle	ja_JP	books	25	covered	
stoic_edge_battle	ko_KR	books	25	covered	
stoic_edge_battle	zh_TW	books	25	covered	
stoic_edge_battle	zh_CN	books	25	covered	
trauma_path_healing	en_US	books	25	covered	
trauma_path_healing	ja_JP	books	25	covered	
trauma_path_healing	ko_KR	books	25	covered	
trauma_path_healing	zh_TW	books	25	covered	
trauma_path_healing	zh_CN	books	25	covered	
warrior_calm_cultivation	en_US	books	25	covered	
warrior_calm_cultivation	ja_JP	books	25	covered	
warrior_calm_cultivation	ko_KR	books	25	covered	
warrior_calm_cultivation	zh_TW	books	25	covered	
warrior_calm_cultivation	zh_CN	books	25	covered	
