panel_id	status	bytes	seconds
ep001_001	ok	1882246	0.0
ep001_002	ok	2095082	0.0
ep001_003	ok	2052658	0.0
ep001_004	ok	2015245	0.0
ep001_005	ok	2129954	0.0
ep001_006	ok	2102203	0.0
ep001_007	ok	2095662	0.0
ep001_008	ok	2055598	0.0
ep001_009	ok	2095662	0.0
ep001_010	ok	2024685	0.0
ep001_011	ok	2093228	0.0
ep001_012	ok	2018070	0.0
ep001_013	ok	1871818	0.0
ep001_014	ok	1871818	0.0
ep001_015	ok	2343050	0.0
ep001_016	ok	2368942	0.0
ep001_017	ok	2450910	0.0
ep001_018	ok	2060733	0.0
ep001_019	ok	2151047	0.0
ep001_020	ok	2210110	0.0
ep001_021	ok	2188015	0.0
ep001_022	ok	1871818	0.0
ep001_023	ok	2165272	0.0
ep001_024	ok	1871818	0.0
ep001_025	ok	1871818	0.0
ep001_026	ok	2163532	0.0
ep001_027	ok	1871818	0.0
ep001_028	ok	2109991	0.0
ep001_029	ok	1871818	0.0
ep001_030	ok	2150790	0.0
ep001_031	ok	2107358	0.0
ep001_032	ok	1871818	0.0
ep001_033	ok	1871818	0.0
ep001_034	ok	1871818	0.0
ep001_035	ok	1871818	0.0
