book_id	persona	topic	catalog_engine	engine_binding_status	arc_exists	atom_dir	verdict
devotion_path__sai_ma__gen_x_sandwich__courage__overwhelm	gen_x_sandwich	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_x_sandwich__courage__spiral	gen_x_sandwich	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__gen_x_sandwich__imposter_syndrome__false_alarm	gen_x_sandwich	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_x_sandwich__imposter_syndrome__overwhelm	gen_x_sandwich	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_x_sandwich__imposter_syndrome__spiral	gen_x_sandwich	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_professionals__burnout__false_alarm	gen_z_professionals	burnout	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_professionals__burnout__overwhelm	gen_z_professionals	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__gen_z_professionals__burnout__spiral	gen_z_professionals	burnout	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_professionals__courage__false_alarm	gen_z_professionals	courage	false_alarm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__gen_z_professionals__courage__overwhelm	gen_z_professionals	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_professionals__courage__spiral	gen_z_professionals	courage	spiral	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__gen_z_professionals__imposter_syndrome__false_alarm	gen_z_professionals	imposter_syndrome	false_alarm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_professionals__imposter_syndrome__overwhelm	gen_z_professionals	imposter_syndrome	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_professionals__imposter_syndrome__spiral	gen_z_professionals	imposter_syndrome	spiral	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_student__burnout__false_alarm	gen_z_student	burnout	false_alarm	forbidden	yes	yes	BUILDS_BUT_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_student__burnout__overwhelm	gen_z_student	burnout	overwhelm	allowed	yes	yes	BUILDABLE_LEGAL
devotion_path__sai_ma__gen_z_student__burnout__spiral	gen_z_student	burnout	spiral	forbidden	yes	yes	BUILDS_BUT_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_student__courage__false_alarm	gen_z_student	courage	false_alarm	allowed	no	yes	MISSING_ARC_ENGINE_LEGAL
devotion_path__sai_ma__gen_z_student__courage__overwhelm	gen_z_student	courage	overwhelm	forbidden	no	yes	MISSING_ARC_ENGINE_ILLEGAL
devotion_path__sai_ma__gen_z_student__courage__spiral	gen_z_student	courage	spiral	allowed	no	yes	MISSING_ARC_ENGINE_LEGAL
devotion_path__sai_ma__gen_z_student__imposter_syndrome__false_alarm	gen_z_student	imposter_syndrome	false_alarm	forbidden	yes	yes	BUILDS_BUT_ENGINE_ILLEGAL
