brand_id	week_iso	deliverable_type	status	download_url	last_updated
creative_unfold_social	2026-W22	atoms	ready	artifacts/weekly_packages/creative_unfold_social/2026-W22/creative_unfold_social_2026-W22.zip	2026-05-25T20:48:32Z
creative_unfold_social	2026-W22	manga_panels	ready	artifacts/weekly_packages/creative_unfold_social/2026-W22/creative_unfold_social_2026-W22.zip	2026-05-25T20:48:32Z
creative_unfold_social	2026-W22	pearl_news	ready	artifacts/weekly_packages/creative_unfold_social/2026-W22/creative_unfold_social_2026-W22.zip	2026-05-25T20:48:32Z
creative_unfold_social	2026-W22	podcast	ready	artifacts/weekly_packages/creative_unfold_social/2026-W22/creative_unfold_social_2026-W22.zip	2026-05-25T20:48:32Z
devotion_path_shonen	2026-W22	books	ready	artifacts/weekly_packages/devotion_path_shonen/2026-W22/devotion_path_shonen_2026-W22.zip	2026-05-25T20:48:32Z
devotion_path_shonen	2026-W22	atoms	ready	artifacts/weekly_packages/devotion_path_shonen/2026-W22/devotion_path_shonen_2026-W22.zip	2026-05-25T20:48:32Z
devotion_path_shonen	2026-W22	manga_panels	ready	artifacts/weekly_packages/devotion_path_shonen/2026-W22/devotion_path_shonen_2026-W22.zip	2026-05-25T20:48:32Z
devotion_path_shonen	2026-W22	pearl_news	ready	artifacts/weekly_packages/devotion_path_shonen/2026-W22/devotion_path_shonen_2026-W22.zip	2026-05-25T20:48:32Z
devotion_path_shonen	2026-W22	podcast	ready	artifacts/weekly_packages/devotion_path_shonen/2026-W22/devotion_path_shonen_2026-W22.zip	2026-05-25T20:48:32Z
digital_ground	2026-W22	books	ready	artifacts/weekly_packages/digital_ground/2026-W22/digital_ground_2026-W22.zip	2026-05-25T20:48:32Z
digital_ground	2026-W22	atoms	ready	artifacts/weekly_packages/digital_ground/2026-W22/digital_ground_2026-W22.zip	2026-05-25T20:48:32Z
digital_ground	2026-W22	manga_panels	ready	artifacts/weekly_packages/digital_ground/2026-W22/digital_ground_2026-W22.zip	2026-05-25T20:48:32Z
digital_ground	2026-W22	pearl_news	ready	artifacts/weekly_packages/digital_ground/2026-W22/digital_ground_2026-W22.zip	2026-05-25T20:48:32Z
digital_ground	2026-W22	podcast	ready	artifacts/weekly_packages/digital_ground/2026-W22/digital_ground_2026-W22.zip	2026-05-25T20:48:32Z
executive_calm_workplace	2026-W22	books	ready	artifacts/weekly_packages/executive_calm_workplace/2026-W22/executive_calm_workplace_2026-W22.zip	2026-05-25T20:48:32Z
executive_calm_workplace	2026-W22	atoms	ready	artifacts/weekly_packages/executive_calm_workplace/2026-W22/executive_calm_workplace_2026-W22.zip	2026-05-25T20:48:32Z
executive_calm_workplace	2026-W22	manga_panels	ready	artifacts/weekly_packages/executive_calm_workplace/2026-W22/executive_calm_workplace_2026-W22.zip	2026-05-25T20:48:32Z
executive_calm_workplace	2026-W22	pearl_news	ready	artifacts/weekly_packages/executive_calm_workplace/2026-W22/executive_calm_workplace_2026-W22.zip	2026-05-25T20:48:32Z
