cell	persona	topic	engine	words	md5	scene_anchor_density	chapter_flow	book_pass	angle_journey	ei_v2	ei_composite	bestseller_craft	book_quality	overall	hard_failures
courage_false_alarm__millennial_women_professionals	millennial_women_professionals	courage	false_alarm	21736	e4190fe7cb13	PASS	PASS	PASS	PASS	PASS	0.6337	PASS	Hold	WARN	none
courage_false_alarm__tech_finance_burnout	tech_finance_burnout	courage	false_alarm	21590	d4b49114b732	PASS	PASS	PASS	PASS	PASS	0.6353	PASS	Hold	WARN	none
courage_false_alarm__working_parents	working_parents	courage	false_alarm	21693	89d77659f736	PASS	PASS	PASS	PASS	PASS	0.6448	PASS	Hold	WARN	none
courage_shame__corporate_managers	corporate_managers	courage	shame	21654	3b199dd1cfb3	PASS	PASS	PASS	PASS	PASS	0.6428	PASS	Hold	WARN	none
courage_shame__entrepreneurs	entrepreneurs	courage	shame	21673	32f1c93c6bd5	PASS	PASS	PASS	PASS	PASS	0.6535	PASS	Hold	WARN	none
courage_shame__first_responders	first_responders	courage	shame	21672	563c23e7085f	PASS	PASS	PASS	PASS	PASS	0.6626	PASS	Hold	WARN	none
courage_shame__gen_alpha_students	gen_alpha_students	courage	shame	19905	5c0eae76f8c9	PASS	PASS	PASS	PASS	PASS	0.6457	PASS	Hold	WARN	none
courage_shame__gen_x_sandwich	gen_x_sandwich	courage	shame	21671	de7a6dc1aed4	PASS	PASS	PASS	PASS	PASS	0.6579	PASS	Hold	WARN	none
courage_shame__gen_z_professionals	gen_z_professionals	courage	shame	19858	70c0f6b949aa	PASS	PASS	PASS	PASS	PASS	0.6521	PASS	Hold	WARN	none
courage_shame__healthcare_rns	healthcare_rns	courage	shame	21674	3dbbd01b2be8	FAIL	PASS	PASS	PASS	PASS	0.6016	PASS	Hold	WARN	none
courage_shame__millennial_women_professionals	millennial_women_professionals	courage	shame	21692	23b23aa2b7aa	PASS	PASS	PASS	PASS	PASS	0.6399	PASS	Hold	WARN	none
courage_shame__tech_finance_burnout	tech_finance_burnout	courage	shame	21543	5985a47b2ddc	PASS	PASS	PASS	PASS	PASS	0.6532	PASS	Hold	WARN	none
courage_shame__working_parents	working_parents	courage	shame	21674	db626ddd15d9	PASS	PASS	PASS	PASS	PASS	0.651	PASS	Hold	WARN	none
courage_spiral__corporate_managers	corporate_managers	courage	spiral	21492	f09396a50137	PASS	PASS	PASS	PASS	PASS	0.6475	PASS	Hold	WARN	none
courage_spiral__entrepreneurs	entrepreneurs	courage	spiral	21752	3f2202a66f50	PASS	PASS	PASS	PASS	PASS	0.6626	PASS	Hold	WARN	none
courage_spiral__first_responders	first_responders	courage	spiral	21676	63eb6cf96140	PASS	PASS	PASS	PASS	PASS	0.6535	PASS	Pass	WARN	none
courage_spiral__gen_alpha_students	gen_alpha_students	courage	spiral	20220	f4782499cfa5	PASS	PASS	PASS	PASS	PASS	0.6437	PASS	Hold	WARN	none
courage_spiral__gen_x_sandwich	gen_x_sandwich	courage	spiral	21716	0b49b01f71b4	PASS	PASS	PASS	PASS	PASS	0.6579	PASS	Hold	WARN	none
courage_spiral__gen_z_professionals	gen_z_professionals	courage	spiral	19531	e4c813bf799a	PASS	PASS	PASS	PASS	PASS	0.6451	PASS	Hold	WARN	none
courage_spiral__healthcare_rns	healthcare_rns	courage	spiral	21664	e264b13ad140	PASS	PASS	PASS	PASS	PASS	0.6052	PASS	Hold	WARN	none
courage_spiral__millennial_women_professionals	millennial_women_professionals	courage	spiral	21672	6e7593023a44	PASS	PASS	PASS	PASS	PASS	0.6373	PASS	Hold	WARN	none
courage_spiral__tech_finance_burnout	tech_finance_burnout	courage	spiral	21540	3fbc7aa5e203	PASS	PASS	PASS	PASS	PASS	0.645	PASS	Hold	WARN	none
courage_spiral__working_parents	working_parents	courage	spiral	21655	b50a97ad47c1	PASS	PASS	PASS	PASS	PASS	0.634	PASS	Hold	WARN	none
imposter_syndrome_comparison__corporate_managers	corporate_managers	imposter_syndrome	comparison	21617	3cb186b6eac7	PASS	PASS	PASS	PASS	PASS	0.6612	PASS	Reject	WARN	none
imposter_syndrome_comparison__entrepreneurs	entrepreneurs	imposter_syndrome	comparison	21664	c662f86189fa	PASS	PASS	PASS	PASS	PASS	0.6553	PASS	Hold	WARN	none
imposter_syndrome_comparison__first_responders	first_responders	imposter_syndrome	comparison	21268	fdc86abd254b	PASS	PASS	PASS	PASS	PASS	0.6384	PASS	Hold	WARN	none
imposter_syndrome_comparison__gen_alpha_students	gen_alpha_students	imposter_syndrome	comparison	21670	78b40697a68a	PASS	PASS	PASS	PASS	PASS	0.6421	PASS	Hold	WARN	none
imposter_syndrome_comparison__gen_x_sandwich	gen_x_sandwich	imposter_syndrome	comparison	21655	6e4c67c18a50	PASS	PASS	PASS	PASS	PASS	0.6363	PASS	Hold	WARN	none
imposter_syndrome_comparison__gen_z_professionals	gen_z_professionals	imposter_syndrome	comparison	21368	3a4204db2c22	PASS	PASS	PASS	PASS	PASS	0.6561	PASS	Hold	WARN	none
imposter_syndrome_comparison__healthcare_rns	healthcare_rns	imposter_syndrome	comparison	21325	19cf29b3b889	PASS	PASS	PASS	PASS	PASS	0.6273	PASS	Hold	WARN	none
imposter_syndrome_comparison__millennial_women_professionals	millennial_women_professionals	imposter_syndrome	comparison	21633	abbc6ed8620b	PASS	PASS	PASS	PASS	PASS	0.6477	PASS	Hold	WARN	none
imposter_syndrome_comparison__tech_finance_burnout	tech_finance_burnout	imposter_syndrome	comparison	20816	d34df3936566	PASS	PASS	PASS	PASS	PASS	0.6459	PASS	Hold	WARN	none
imposter_syndrome_comparison__working_parents	working_parents	imposter_syndrome	comparison	21655	17734f311d12	PASS	PASS	PASS	PASS	PASS	0.6529	PASS	Hold	WARN	none
imposter_syndrome_shame__corporate_managers	corporate_managers	imposter_syndrome	shame	21653	ba513c8a5066	PASS	PASS	PASS	PASS	PASS	0.6614	PASS	Hold	WARN	none
imposter_syndrome_shame__entrepreneurs	entrepreneurs	imposter_syndrome	shame	21631	b6e1435a35e6	PASS	PASS	PASS	PASS	PASS	0.6632	PASS	Hold	WARN	none
imposter_syndrome_shame__first_responders	first_responders	imposter_syndrome	shame	21634	848e22a21930	PASS	PASS	PASS	PASS	PASS	0.6281	PASS	Hold	WARN	none
imposter_syndrome_shame__gen_alpha_students	gen_alpha_students	imposter_syndrome	shame	21674	0fa88ee9e19b	PASS	PASS	PASS	PASS	PASS	0.6308	PASS	Hold	WARN	none
imposter_syndrome_shame__gen_x_sandwich	gen_x_sandwich	imposter_syndrome	shame	21653	938dcadb4fc4	PASS	PASS	PASS	PASS	PASS	0.6368	PASS	Hold	WARN	none
imposter_syndrome_shame__gen_z_professionals	gen_z_professionals	imposter_syndrome	shame	21284	790e65764194	PASS	PASS	PASS	PASS	PASS	0.6478	PASS	Hold	WARN	none
imposter_syndrome_shame__healthcare_rns	healthcare_rns	imposter_syndrome	shame	21140	6baa076d3c4d	PASS	PASS	PASS	PASS	PASS	0.6363	PASS	Hold	WARN	none
imposter_syndrome_shame__millennial_women_professionals	millennial_women_professionals	imposter_syndrome	shame	21630	81bb093dd550	PASS	PASS	PASS	PASS	PASS	0.648	PASS	Hold	WARN	none
imposter_syndrome_shame__tech_finance_burnout	tech_finance_burnout	imposter_syndrome	shame	21710	41136db1f1d5	PASS	PASS	PASS	PASS	PASS	0.6503	PASS	Hold	WARN	none
imposter_syndrome_shame__working_parents	working_parents	imposter_syndrome	shame	21635	5658b4e3e0cf	PASS	PASS	PASS	PASS	PASS	0.6399	PASS	Hold	WARN	none
