Discovered 456 arc files across 12 personas.
  [  68/1000] book_0066 FAIL  2.6s  0w  corporate_managers/imposter_syndrome/comparison/F006
  [  69/1000] book_0070 FAIL  1.6s  0w  first_responders/self_worth/shame/F006
  [  70/1000] book_0068 FAIL  2.7s  0w  gen_x_sandwich/courage/false_alarm/F006
  [  71/1000] book_0071 FAIL  1.8s  0w  first_responders/sleep_anxiety/false_alarm/F006
  [  72/1000] book_0069 FAIL  2.9s  0w  gen_x_sandwich/somatic_healing/overwhelm/F006
  [  73/1000] book_0072 FAIL  1.9s  0w  entrepreneurs/social_anxiety/comparison/F006
  [  74/1000] book_0073 FAIL  3.2s  0w  gen_alpha_students/boundaries/comparison/F006
  [  75/1000] book_0074 FAIL  3.1s  0w  gen_z_professionals/somatic_healing/overwhelm/F006
  [  76/1000] book_0075 FAIL  3.0s  0w  corporate_managers/grief/grief/F006
  [  77/1000] book_0076 FAIL  3.1s  0w  gen_alpha_students/grief/grief/F006
  [  78/1000] book_0078 FAIL  1.8s  0w  working_parents/overthinking/watcher/F006
  [  79/1000] book_0077 FAIL  3.3s  0w  gen_alpha_students/sleep_anxiety/false_alarm/F006
  [  80/1000] book_0080 FAIL  2.1s  0w  gen_alpha_students/social_anxiety/comparison/F006
  [  81/1000] book_0079 FAIL  3.3s  0w  tech_finance_burnout/sleep_anxiety/false_alarm/F006
  [  82/1000] book_0081 FAIL  3.2s  0w  working_parents/financial_stress/spiral/F006
  [  83/1000] book_0082 FAIL  2.6s  0w  corporate_managers/financial_stress/overwhelm/F006
  [  84/1000] book_0083 FAIL  2.5s  0w  entrepreneurs/financial_stress/spiral/F006
  [  85/1000] book_0084 FAIL  2.4s  0w  tech_finance_burnout/courage/shame/F006
  [  86/1000] book_0085 FAIL  2.1s  0w  tech_finance_burnout/grief/grief/F006
  [  87/1000] book_0086 FAIL  2.4s  0w  millennial_women_professionals/self_worth/shame/F006
  [  88/1000] book_0087 FAIL  2.5s  0w  corporate_managers/sleep_anxiety/false_alarm/F006
  [  89/1000] book_0089 FAIL  1.7s  0w  first_responders/grief/grief/F006
  [  90/1000] book_0088 FAIL  2.8s  0w  millennial_women_professionals/anxiety/false_alarm/F006
  [  91/1000] book_0091 FAIL  1.7s  0w  entrepreneurs/overthinking/spiral/F006
  [  92/1000] book_0090 FAIL  3.6s  0w  gen_x_sandwich/anxiety/grief/F006
  [  93/1000] book_0092 FAIL  3.9s  0w  gen_z_professionals/boundaries/comparison/F006
  [  94/1000] book_0093 FAIL  4.2s  0w  millennial_women_professionals/financial_anxiety/spiral/F006
  [  95/1000] book_0094 FAIL  4.7s  0w  healthcare_rns/compassion_fatigue/watcher/F006
  [  96/1000] book_0096 FAIL  4.2s  0w  gen_alpha_students/depression/grief/F006
  [  97/1000] book_0097 FAIL  3.8s  0w  entrepreneurs/financial_anxiety/overwhelm/F006
  [  98/1000] book_0095 FAIL  7.2s  10499w  gen_alpha_students/anxiety/watcher/F006
  [  99/1000] book_0099 FAIL  2.6s  0w  first_responders/depression/overwhelm/F006
  [ 100/1000] book_0098 FAIL  4.8s  0w  healthcare_rns/anxiety/comparison/F006
  [ 101/1000] book_0100 FAIL  3.5s  0w  gen_z_professionals/anxiety/watcher/F006
  [ 102/1000] book_0101 FAIL  2.9s  0w  gen_alpha_students/financial_anxiety/overwhelm/F006
  [ 103/1000] book_0103 FAIL  2.5s  0w  entrepreneurs/imposter_syndrome/shame/F006
  [ 104/1000] book_0102 FAIL  3.0s  0w  corporate_managers/anxiety/watcher/F006
  [ 105/1000] book_0104 FAIL  2.6s  0w  working_parents/financial_stress/shame/F006
  [ 106/1000] book_0105 FAIL  2.9s  0w  gen_x_sandwich/sleep_anxiety/overwhelm/F006
  [ 107/1000] book_0106 FAIL  3.2s  0w  first_responders/anxiety/watcher/F006
  [ 108/1000] book_0107 FAIL  3.1s  0w  gen_alpha_students/financial_anxiety/overwhelm/F006
  [ 109/1000] book_0108 FAIL  3.9s  0w  working_parents/financial_stress/spiral/F006
  [ 110/1000] book_0110 FAIL  2.6s  0w  gen_x_sandwich/overthinking/watcher/F006
  [ 111/1000] book_0109 FAIL  4.0s  0w  millennial_women_professionals/financial_anxiety/overwhelm/F006
