retired_book_id	reason
somatic_wisdom__pamela_fellows__gen_z_student__compassion_fatigue__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__compassion_fatigue__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__self_worth__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__self_worth__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__self_worth__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__somatic_healing__comparison	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__somatic_healing__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__somatic_healing__grief	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__somatic_healing__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__somatic_healing__shame	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__somatic_healing__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__gen_z_student__somatic_healing__watcher	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__compassion_fatigue__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__self_worth__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__self_worth__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__self_worth__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__somatic_healing__comparison	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__somatic_healing__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__somatic_healing__grief	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__somatic_healing__shame	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__healthcare_rns__somatic_healing__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__compassion_fatigue__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__self_worth__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__self_worth__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__self_worth__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__somatic_healing__comparison	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__somatic_healing__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__somatic_healing__grief	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__somatic_healing__shame	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__millennial_women_professionals__somatic_healing__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__compassion_fatigue__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__self_worth__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__self_worth__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__self_worth__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__somatic_healing__comparison	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__somatic_healing__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__somatic_healing__grief	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__somatic_healing__shame	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__tech_finance_burnout__somatic_healing__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__compassion_fatigue__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__compassion_fatigue__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__self_worth__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__self_worth__overwhelm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__self_worth__spiral	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__somatic_healing__comparison	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__somatic_healing__false_alarm	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__somatic_healing__grief	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__somatic_healing__shame	engine_illegal_or_repointed_away
somatic_wisdom__pamela_fellows__working_parents__somatic_healing__spiral	engine_illegal_or_repointed_away
